date,case,day_total,events,conflict,threat_coerce,sanction,military_pair,military_geo,keyword_articles,tone_num,tone_den
20250818,china_japan_2025,132066,51,13,4,0,2,369,0,-612.8210035071548,286.0
20250818,china_japan_seafood_2023,132066,51,13,4,0,2,369,9,-612.8210035071548,286.0
20250818,india_pakistan_2025,132066,35,23,12,0,9,759,272,-609.4147617352384,123.0
20250818,israel_iran_2025,132066,125,61,14,0,39,1184,129,-2901.545684045685,578.0
20250818,north_korea,132066,41,18,0,0,0,20,14,-129.9275645956631,174.0
20250818,russia_ukraine_2022,132066,2328,554,87,3,251,776,803,-47516.98850546709,27552.0
20250818,south_china_sea_ph,132066,36,26,3,0,10,123,3,-546.3624937671073,144.0
20250818,taiwan_strait,132066,159,43,18,1,19,13,61,-979.1623443188453,1139.0
20250818,thailand_cambodia_2025,132066,78,39,6,0,23,90,22,-519.678311409855,262.0
20250818,us_china_chips_2022,132066,146,28,16,0,8,255,42,-3547.098250114734,1784.0
20250818,us_china_tariffs_2025,132066,271,60,30,0,24,5808,123,-4235.349018495619,2599.0
20250819,china_japan_2025,142698,52,8,2,0,5,388,0,-451.2063046575855,405.0
20250819,china_japan_seafood_2023,142698,52,8,2,0,5,388,13,-451.2063046575855,405.0
20250819,india_pakistan_2025,142698,39,9,2,0,5,832,218,-647.6036194180967,209.0
20250819,israel_iran_2025,142698,96,54,18,0,37,1064,117,-2043.6971316752124,563.0
20250819,north_korea,142698,95,42,12,0,10,36,65,-1654.935324129229,746.0
20250819,russia_ukraine_2022,142698,2169,457,78,0,205,513,879,-10744.703589886753,25079.0
20250819,south_china_sea_ph,142698,16,9,1,0,7,117,14,-172.78259870771876,55.0
20250819,taiwan_strait,142698,229,52,14,1,16,35,83,-2133.305229567991,1453.0
20250819,thailand_cambodia_2025,142698,160,84,18,0,35,108,29,-4405.253559439963,1445.0
20250819,us_china_chips_2022,142698,211,53,21,0,22,262,78,-1828.835150685555,1257.0
20250819,us_china_tariffs_2025,142698,379,92,32,0,36,6847,180,-2996.8188654908063,2196.0
20250820,china_japan_2025,140790,41,7,1,0,1,393,0,-513.9041217448465,332.0
20250820,china_japan_seafood_2023,140790,41,7,1,0,1,393,13,-513.9041217448465,332.0
